"author","published_at","updated_at","like_count","text","comment_type","parent_id"
"@illk3d","2024-02-19T07:42:50Z","2024-02-19T07:42:50Z","0","ниху9 фахитос здарова о_О! когда гайд по русской рулетке в летал компани?","Top Level",""
"@dekuk1d470","2024-02-19T09:55:01Z","2024-02-19T09:55:01Z","0","ХАХААХА","Reply","UgzHhcZp1XXZoXiTIpN4AaABAg"
"@shiiroufo","2024-02-19T03:34:56Z","2024-02-19T03:39:47Z","1","Бро, у меня почему то с галочкой и с дисплей лучше мышка себя ведёт, а без галки по дефолту играется как то мыльно, мышка просто бетонная.<br>Монитор Samsung SyncMaster Bx2340 75 hz (1920x1080, 1280x1024)<br>Ryzen 5 5600x 4ghz razgon <br>Gtx 1060 3gb<br>P.s играл уже 5 день и разница есть, я теперь с 30 хедшот рейта в валоранте я бью 40-50 за матч.","Top Level",""
"@dekuk1d470","2024-02-19T09:55:24Z","2024-02-19T09:55:24Z","1","найссс","Reply","Ugz_01rLJg3XBArvGHB4AaABAg"
"@link3720","2024-02-18T23:19:10Z","2024-02-18T23:19:10Z","0","Молодец","Top Level",""
"@dekuk1d470","2024-02-18T23:21:23Z","2024-02-18T23:21:23Z","0","спасиб","Reply","Ugwxb-_pzq67NJ7Vy8N4AaABAg"
"@kise8707","2024-02-18T14:19:19Z","2024-02-18T14:19:19Z","2","эти все настройки от а до я. не повлияет на фпс и работспособности других игр?","Top Level",""
"@psevdonimka73526","2024-02-18T20:48:28Z","2024-02-18T20:48:28Z","0","не, тут фас особо не поднимется, но станет стабильнее, и так в любом приложении, станет более стабильный фпс и поэтому микро лаги и фризы пропадут","Reply","UgwBjrL6YiH9U8Fe7754AaABAg"
"@trebbettcu8654","2024-02-18T07:41:40Z","2024-02-18T07:41:40Z","0","бро, сколько ща на 5600 фпса у тебя?","Top Level",""
"@dekuk1d470","2024-02-18T12:55:15Z","2024-02-18T12:55:15Z","0","с 1060 на дме 300-350 кс2 более процессная игра, на 4060 на 5600  столько же фпс как и на 1660 на лоу настройках","Reply","Ugw6NIGSDNZjN2v94ct4AaABAg"
"@youth5342","2024-02-19T16:56:56Z","2024-02-19T16:56:56Z","0","@@dekuk1d470ебать, у меня райзен 5600x и 3060 и 100фпс нахуй,хотя в кс все норм было,хуй знает что делать винду снести..","Reply","Ugw6NIGSDNZjN2v94ct4AaABAg"
"@user-jr7vt7tk1j","2024-02-18T07:34:01Z","2024-02-18T07:34:01Z","3","У меня Моник от benq, но не Zowie, есть в панели только вариант с ГП, вопрос-нужно ли ставить галку на масштабирование или оставить пустой? И еще, если шаришь можешь пж сказать функция ama в Монике ставить на высокую или на премиум?","Top Level",""
"@dekuk1d470","2024-02-18T12:53:53Z","2024-02-18T12:53:53Z","0","Многие играют на высоком я сам тоже играл на высоком так как то более комфортно, ну по идее галка особо не роляет можешь поставить","Reply","Ugw_Vl5smuevLk71Ew94AaABAg"
"@aza4519","2024-02-18T07:27:43Z","2024-02-18T07:27:43Z","0","видео говно. фуу","Top Level",""
"@hyodexnt","2024-02-18T06:47:48Z","2024-02-18T06:47:48Z","0","Брат я конечно не ною на эту тему так как не вижу никаких инпут лагов, но такое понятие реально существует и может влиять на игры, просто многие ноют даже не зная что это такое","Top Level",""
"@dekuk1d470","2024-02-18T11:53:32Z","2024-02-18T11:53:32Z","0","Не инпут лаг есть это факт, но оно не так роляет как люди говорят, вплане с инпутом спокойно можно выйти на тир 3-4 сцену и поехать на буткемп или лан где доказывать что ты реально очень силен","Reply","Ugyy3CLCX4Uq4up6WIh4AaABAg"
"@hyodexnt","2024-02-18T15:12:18Z","2024-02-18T15:12:18Z","0","@@dekuk1d470 нууу на счёт того что можно выйти на тир 3-4 сцену это да, но он сильно влияет и очень даже но, опять же у всех он проявляется по разному может и сильно а может и нет, но то что все ноют только потому ято он существует а на самом деле его у них нет это факт","Reply","Ugyy3CLCX4Uq4up6WIh4AaABAg"
"@dekuk1d470","2024-02-18T15:14:53Z","2024-02-18T15:14:53Z","0","@@hyodexnt Ну да ну все равно выйти на уровень лана и там отьебать и тебя заметили можно","Reply","Ugyy3CLCX4Uq4up6WIh4AaABAg"
"@KostyanGang","2024-02-19T15:31:02Z","2024-02-19T15:31:02Z","0","Alt+r на видеокартах Nvidia , показывает задержку ПК, это и есть инпут лаг. Если больше 20 Ms , сбавляйте настройки.  Тк это получается, что задержка = инпут + пинг.","Reply","Ugyy3CLCX4Uq4up6WIh4AaABAg"
"@hyodexnt","2024-02-19T16:25:21Z","2024-02-19T16:25:21Z","0","@@KostyanGang есть 2 понятия инпут лаг и ещё какое то, второе так просто не проверить мы о нём и говорили, а то о чём ты говорил это просто задержка","Reply","Ugyy3CLCX4Uq4up6WIh4AaABAg"
"@-x1M1k","2024-02-17T03:01:36Z","2024-02-17T03:01:36Z","0","👍👍","Top Level",""
"@aquars1115","2024-02-16T12:03:04Z","2024-02-16T12:03:04Z","0","Этот мошенник взял и сломал мне компьютер теперь он не включается просьба забанить данного человека и посадить в тюрьму по статье 117 ук рф","Top Level",""
"@dekuk1d470","2024-02-16T12:43:49Z","2024-02-16T12:43:49Z","0","я в казахстане живу лейм","Reply","UgzriqZ1zn3iTqzO0IN4AaABAg"
"@kesha4463","2024-02-16T13:42:46Z","2024-02-16T13:42:46Z","0","Ля ты олень","Reply","UgzriqZ1zn3iTqzO0IN4AaABAg"
"@yak697","2024-02-18T04:46:11Z","2024-02-18T04:46:11Z","0","Какая интересная позиция, обвинять человека без доказательств :D","Reply","UgzriqZ1zn3iTqzO0IN4AaABAg"
"@vivisectbrodi8229","2024-02-16T09:33:18Z","2024-02-16T09:33:18Z","0","Симпл если что ставит гп +галочку в нвидии","Top Level",""
"@dekuk1d470","2024-02-16T10:17:22Z","2024-02-16T10:17:22Z","1","братух я как то не правильно сказал или что, я говорю если у вас монитор не benq zowie не надо ставить гп с галкой, у него BENQ ZOWIE XL2566K как у 90% про игроков так как на всех ланах стоят benq пересмотри этот фрагмент пжВВФ)Ы)ВФЫВ","Reply","UgwPscjA_9qG15OFUD54AaABAg"
"@ddosattack8473","2024-02-16T09:25:46Z","2024-02-16T09:25:46Z","0","нехуя не понимает че делает еще других пытается учить","Top Level",""
"@nikelite6722","2024-02-16T04:51:34Z","2024-02-16T04:51:34Z","0","База!","Top Level",""
"@damirkulshenbaev6502","2024-02-15T16:05:14Z","2024-02-15T16:05:14Z","10","не умеет нормально монтировать","Top Level",""
"@Meh1co","2024-02-16T06:19:02Z","2024-02-16T06:19:02Z","4","Зато играть умеет","Reply","UgyhPWj6GnwxDUcAcux4AaABAg"
"@Aldikon","2024-02-15T16:05:04Z","2024-02-15T16:05:04Z","10","spasibo priwlos noviy pc pokupat","Top Level",""
"@hady6231","2024-02-15T15:53:12Z","2024-02-15T15:53:12Z","1","СПАСИБО ФАХРАТ💋❤","Top Level",""
"@dekuk1d470","2024-02-15T15:55:41Z","2024-02-15T15:55:41Z","0","ты тот самый инпут лаг 8лвл?????????","Reply","UgyQyVg3XX_-IXrzSGR4AaABAg"
"@hady6231","2024-02-15T16:00:28Z","2024-02-15T16:00:28Z","0","@@dekuk1d470 да не пока 800 эло ну всё впереди","Reply","UgyQyVg3XX_-IXrzSGR4AaABAg"
"@hady6231","2024-02-15T16:00:46Z","2024-02-15T16:00:46Z","0","@@dekuk1d470  это всё из за инпут лага 100 процентов я был бы жёстким","Reply","UgyQyVg3XX_-IXrzSGR4AaABAg"
